rank,name,model,feature_set,params,class_weight,calibration,round,proposed_by,pr_auc,roc_auc,lift_at_10,precision_at_10,recall_at_10,best_f1,best_threshold,f1_at_0_5,brier,ece,pr_auc_std,fit_seconds,verdict,delta_vs_incumbent,hypothesis,error
1,logreg_engineered,logreg,engineered,C=1,none,none,2,rules,0.6618457159825264,0.8470325645474166,2.8547725456536535,0.7575221238938054,0.2862876254180602,0.6460032727424145,0.3408744632746124,0.5939276262752565,0.13446100907595765,0.025970410367741763,0.014261184177092434,0.37,inconclusive,0.00034,"Explicit tenure buckets, add-on count and charge ratio encode known churn patterns that logreg otherwise has to learn from one-hot columns.",
2,logreg_raw,logreg,raw,C=1,none,none,1,rules,0.6615043512791037,0.8461587196032878,2.854766626217184,0.7575221238938052,0.2862876254180602,0.6467884371921818,0.3389772049261548,0.5926266972292977,0.13506385103696977,0.029256847245519347,0.01940794519689296,0.26,baseline,,"Linear baseline sets the floor; the main churn drivers (contract, tenure, charges) are largely additive, so it should already be competitive.",
3,logreg_raw_regularised,logreg,raw,C=0.1,none,none,3,rules,0.6607494210963225,0.8455289769403688,2.834764850386243,0.7522123893805309,0.2842809364548495,0.6447108128120429,0.32568282777145885,0.5892122024361133,0.13529313226611747,0.03056743687437579,0.019045766446833996,0.26,no_gain,-0.00075,Stronger L2 regularisation should reduce variance of the one-hot coefficients.,
4,logreg_raw_balanced,logreg,raw,C=1,balanced,none,3,rules,0.6599613253518919,0.845934143355529,2.8481013407523603,0.7557522123893806,0.28561872909698993,0.6436812708861527,0.5822512079583766,0.6284204426166708,0.16528045202464697,0.14900627722719748,0.019568399729017055,0.24,no_gain,-0.00154,Balanced class weights push the model to rank rare churners higher; may raise recall@10% at some cost in calibration.,
5,lightgbm_raw_regularised,lightgbm,raw,"colsample_bytree=1, learning_rate=0.03, min_child_samples=40, n_estimators=400, num_leaves=15, reg_lambda=1",none,none,3,rules,0.6590128020733197,0.8431420851693753,2.8680971971468314,0.7610619469026549,0.28762541806020064,0.6425616218336757,0.33965643278841007,0.5804176424789614,0.13604719196706272,0.031583490001586174,0.020885556559372263,0.74,no_gain,-0.00249,"Fewer leaves and larger minimum leaves should reduce overfitting seen in the defaults. If so, the gap to logreg at default settings was overfitting, not a family limit.",
6,logreg_minimal,logreg,minimal,C=1,none,none,2,rules,0.6456295771208932,0.8407166761507959,2.774724006274602,0.7362831858407081,0.2782608695652174,0.6424905022276237,0.31555740678357463,0.5797265736007079,0.13775579893193377,0.0326080171335954,0.014095593986723593,0.15,no_gain,-0.01587,"If seven columns hold most of the signal, the simpler model is easier to deploy and explain; expected small PR-AUC loss.",
7,lgbm_raw,lightgbm,raw,"colsample_bytree=1, learning_rate=0.05, min_child_samples=20, n_estimators=300, num_leaves=31, reg_lambda=0",none,none,1,rules,0.6407433933530309,0.834377120900483,2.78806049664072,0.7398230088495575,0.27959866220735785,0.6309163121146091,0.2973858652449394,0.5740667391871782,0.14182443021618382,0.050881175251042854,0.017299809157680427,1.02,no_gain,-0.02076,Leaf-wise boosting with the same defaults as hist_gb; checks whether the implementation matters more than the family.,
8,lightgbm_engineered,lightgbm,engineered,"colsample_bytree=1, learning_rate=0.05, min_child_samples=20, n_estimators=300, num_leaves=31, reg_lambda=0",none,none,2,rules,0.6375036890762525,0.8363112717581348,2.7413857400775443,0.727433628318584,0.2749163879598662,0.629560321819379,0.29558736107243355,0.5743511538369651,0.14274753444101065,0.05468817283076947,0.017894388586870185,0.95,no_gain,-0.024,"Explicit tenure buckets, add-on count and charge ratio encode known churn patterns that lightgbm otherwise has to learn from one-hot columns.",
9,hgb_raw,hist_gb,raw,"l2_regularization=0, learning_rate=0.1, max_depth=0, max_iter=200",none,none,1,rules,0.6360659519630252,0.831272722372548,2.714700920472371,0.720353982300885,0.27224080267558526,0.6307735546793068,0.3288934190064569,0.5698085490455342,0.1446762820505739,0.06257242356515498,0.019726825331261116,4.64,no_gain,-0.02544,Boosting usually wins on tabular data of this size; expected best PR-AUC of the baselines.,
10,rf_raw,random_forest,raw,"max_depth=0, min_samples_leaf=1, n_estimators=300",none,none,1,rules,0.6179810362883493,0.8237576259617688,2.688010181430728,0.7132743362831858,0.26956521739130435,0.622505356981842,0.3164814814814815,0.5497996294681216,0.14462425136301835,0.0392427472739731,0.028468551370016106,3.23,no_gain,-0.04352,"Bagged trees capture interactions without tuning; expected to beat the linear model on ROC-AUC, less clearly on PR-AUC.",
