round,planner,name,spec,hypothesis,pr_auc,delta_vs_incumbent,verdict
1,rules,logreg_raw,logreg / raw / C=1,"Linear baseline sets the floor; the main churn drivers (contract, tenure, charges) are largely additive, so it should already be competitive.",0.6615043512791037,,baseline
1,rules,rf_raw,"random_forest / raw / max_depth=0, min_samples_leaf=1, n_estimators=300","Bagged trees capture interactions without tuning; expected to beat the linear model on ROC-AUC, less clearly on PR-AUC.",0.6179810362883493,-0.04352,no_gain
1,rules,hgb_raw,"hist_gb / raw / l2_regularization=0, learning_rate=0.1, max_depth=0, max_iter=200",Boosting usually wins on tabular data of this size; expected best PR-AUC of the baselines.,0.6360659519630252,-0.02544,no_gain
1,rules,lgbm_raw,"lightgbm / raw / colsample_bytree=1, learning_rate=0.05, min_child_samples=20, n_estimators=300, num_leaves=31, reg_lambda=0",Leaf-wise boosting with the same defaults as hist_gb; checks whether the implementation matters more than the family.,0.6407433933530309,-0.02076,no_gain
2,rules,logreg_engineered,logreg / engineered / C=1,"Explicit tenure buckets, add-on count and charge ratio encode known churn patterns that logreg otherwise has to learn from one-hot columns.",0.6618457159825264,0.00034,inconclusive
2,rules,lightgbm_engineered,"lightgbm / engineered / colsample_bytree=1, learning_rate=0.05, min_child_samples=20, n_estimators=300, num_leaves=31, reg_lambda=0","Explicit tenure buckets, add-on count and charge ratio encode known churn patterns that lightgbm otherwise has to learn from one-hot columns.",0.6375036890762525,-0.024,no_gain
2,rules,logreg_minimal,logreg / minimal / C=1,"If seven columns hold most of the signal, the simpler model is easier to deploy and explain; expected small PR-AUC loss.",0.6456295771208932,-0.01587,no_gain
3,rules,logreg_raw_regularised,logreg / raw / C=0.1,Stronger L2 regularisation should reduce variance of the one-hot coefficients.,0.6607494210963225,-0.00075,no_gain
3,rules,lightgbm_raw_regularised,"lightgbm / raw / colsample_bytree=1, learning_rate=0.03, min_child_samples=40, n_estimators=400, num_leaves=15, reg_lambda=1","Fewer leaves and larger minimum leaves should reduce overfitting seen in the defaults. If so, the gap to logreg at default settings was overfitting, not a family limit.",0.6590128020733197,-0.00249,no_gain
3,rules,logreg_raw_balanced,logreg / raw / C=1 [balanced],Balanced class weights push the model to rank rare churners higher; may raise recall@10% at some cost in calibration.,0.6599613253518919,-0.00154,no_gain
